,,,,
,Sl.No.,Department Name,Web Site,RTI Link
,1,Department of Administrative Reforms & PG,http://darpg.gov.in/,RTI Link
,2,Department of Agricultural Research & Education,http://dare.nic.in,RTI Link
,3,Department of Agriculture & Cooperation,http://agricoop.nic.in,RTI Link
,4,Department of AIDS Control,http://www.naco.gov.in/NACO,RTI Link
,5,Department of Animal Husbandry Dairying and Fisheries,http://dahd.nic.in/animal.htm,RTI Link
,6,Department of AYUSH,http://www.indianmedicine.nic.in,RTI Link
,7,Department of Bio-Technology,http://dbtindia.nic.in,RTI Link
,8,Department of Chemicals & Petrochemicals,http://chemicals.nic.in/,RTI Link
,9,Department of Commerce,http://commerce.nic.in,RTI Link
,10,Department of Consumer Affairs,http://consumeraffairs.nic.in,RTI Link
,11,Department of Defence,http://www.mod.nic.in,RTI Link
,12,Department of Defence Production,http://ddpmod.gov.in,RTI Link
,13,Department of Defence Research & Development,http://www.drdo.gov.in/,RTI Link
,14,Department of Disinvestment,http://www.divest.nic.in/,RTI Link
,15,Department of Economic Affairs,http://finmin.nic.in/the_ministry/dept_eco_affairs/dea.asp,RTI Link
,16,Department of Expenditure,http://finmin.nic.in/the_ministry/dept_expenditure/index.asp,RTI Link
,17,Department of Ex-Servicemen Welfare,http://desw.gov.in,RTI Link
,18,Department of Fertilisers,http://fert.nic.in/index.htm,RTI Link
,19,Department of Financial Services,,
,20,Department of Food & Public Distribution,http://www.fcamin.nic.in/dfpd_html/index.asp,RTI Link
,21,Department of Health & Family Welfare,http://www.mohfw.nic.in/,RTI Link
,22,Department of Health Research,http://www.dhr.gov.in,RTI Link
,23,Department of Heavy Industries,http://dhi.nic.in,RTI Link
,24,Department of Higher Education,http://mhrd.gov.in/higher_education,RTI Link
,25,Department of Home,http://mha.nic.in/uniquepage.asp?Id_Pk=225,RTI Link
,26,Department of Industrial Policy & Promotion,http://dipp.nic.in/,RTI Link
,27,Department of Information Technology,http://mit.gov.in/,RTI Link
,28,Department of Justice,http://lawmin.nic.in/doj/,RTI Link
,29,Department of Land Resources,http://dolr.nic.in,RTI Link
,30,Department of Legal Affairs,http://lawmin.nic.in/Legal.htm,RTI Link
,31,Department of Pensions & Pensioners Welfare,http://persmin.nic.in/pension/,RTI Link
,32,Department of Personnel & Training,http://persmin.nic.in,RTI Link
,33,Department of Pharmaceuticals,http://pharmaceuticals.gov.in,RTI Link
,34,Department of Posts,http://www.indiapost.gov.in,RTI Link
,35,Department of Public Enterprises,http://dpe.nic.in,RTI Link
,36,Department of Revenue,http://dor.gov.in,RTI Link
,37,Department of Rural Development,http://rural.nic.in/,RTI Link
,38,Department of School Education and Literacy,http://mhrd.gov.in/schooleducation,RTI Link
,39,Department of Science & Technology,http://www.dst.gov.in,RTI Link
,40,Department of Scientific & Industrial Research,http://www.dsir.gov.in/,RTI Link
,41,Department of Telecommunications,http://www.dot.gov.in/,RTI Link
,42,Legislative Department,http://lawmin.nic.in/Legis.htm,RTI Link
